,Collection,PatientID,PatientName,PatientSex,StudyInstanceUID,StudyDate,StudyDescription,PatientAge,SeriesCount,SeriesInstanceUID,Modality,SeriesDescription,SeriesNumber,ManufacturerModelName,SoftwareVersions,Visibility,ImageCount,ProtocolName,SeriesDate
45,CC-Radiomics-Phantom-3,CCR-3-CT13,CCR-3-CT13,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.179025288241469196024025070573,1999-06-08,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.337953327550239767075443424537,CT,Chest,1.000000,LightSpeed16,LightSpeedverrel,1,63,8.1 RT SIMULATION PELVIS,1999-06-08
46,CC-Radiomics-Phantom-3,CCR-3-CT13,CCR-3-CT13,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.179025288241469196024025070573,1999-06-08,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.183737274308301188631202082249,CT,Control,1.000000,LightSpeed16,LightSpeedverrel,1,84,8.1 RT SIMULATION PELVIS,1999-06-08
47,CC-Radiomics-Phantom-3,CCR-3-CT13,CCR-3-CT13,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.179025288241469196024025070573,1999-06-08,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.336993858499055162684291426079,CT,Head,1.000000,LightSpeed16,LightSpeedverrel,1,46,8.1 RT SIMULATION PELVIS,1999-06-08
48,CC-Radiomics-Phantom-3,CCR-3-CT47,CCR-3-CT47,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.140331529565409657873691015485,2000-01-31,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.993373709361230404723788331995,RTSTRUCT,Control,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
49,CC-Radiomics-Phantom-3,CCR-3-CT47,CCR-3-CT47,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.140331529565409657873691015485,2000-01-31,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.205645169455027162300529574889,RTSTRUCT,Chest,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
50,CC-Radiomics-Phantom-3,CCR-3-CT47,CCR-3-CT47,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.140331529565409657873691015485,2000-01-31,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.921787048984995243669750871583,RTSTRUCT,Head,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
51,CC-Radiomics-Phantom-3,CCR-3-CT47,CCR-3-CT47,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.140331529565409657873691015485,2000-01-31,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.176921626443210182330038633511,CT,Head,1.000000,LightSpeed16,LightSpeedverrel,1,74,8.1 RT SIMULATION PELVIS,2000-01-31
52,CC-Radiomics-Phantom-3,CCR-3-CT47,CCR-3-CT47,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.140331529565409657873691015485,2000-01-31,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.698956365216733021049471526495,CT,Control,1.000000,LightSpeed16,LightSpeedverrel,1,74,8.1 RT SIMULATION PELVIS,2000-01-31
53,CC-Radiomics-Phantom-3,CCR-3-CT47,CCR-3-CT47,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.140331529565409657873691015485,2000-01-31,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.295016657638291440629048920482,CT,Chest,1.000000,LightSpeed16,LightSpeedverrel,1,74,8.1 RT SIMULATION PELVIS,2000-01-31
54,CC-Radiomics-Phantom-3,CCR-3-CT89,CCR-3-CT89,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.121534957098464188828303515236,1999-02-12,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.270307293177189841339028047667,RTSTRUCT,Head,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
55,CC-Radiomics-Phantom-3,CCR-3-CT89,CCR-3-CT89,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.121534957098464188828303515236,1999-02-12,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.337612081440138277119360275118,RTSTRUCT,Control,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
56,CC-Radiomics-Phantom-3,CCR-3-CT89,CCR-3-CT89,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.121534957098464188828303515236,1999-02-12,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.444115117185060022941514922449,RTSTRUCT,Chest,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
57,CC-Radiomics-Phantom-3,CCR-3-CT89,CCR-3-CT89,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.121534957098464188828303515236,1999-02-12,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.139707078749370983923547896636,CT,Head,1.000000,LightSpeed16,LightSpeedverrel,1,85,8.1 RT SIMULATION PELVIS,2000-02-12
58,CC-Radiomics-Phantom-3,CCR-3-CT89,CCR-3-CT89,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.121534957098464188828303515236,1999-02-12,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.127234595169859987765730616330,CT,Control,1.000000,LightSpeed16,LightSpeedverrel,1,89,8.1 RT SIMULATION PELVIS,2000-02-12
59,CC-Radiomics-Phantom-3,CCR-3-CT89,CCR-3-CT89,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.121534957098464188828303515236,1999-02-12,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.616650803843792430109622086265,CT,Chest,1.000000,LightSpeed16,LightSpeedverrel,1,97,8.1 RT SIMULATION PELVIS,2000-02-12
60,CC-Radiomics-Phantom-3,CCR-3-CT5,CCR-3-CT5,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.106766522950497658260259351604,1999-10-25,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.108488081733362663544334743658,RTSTRUCT,Chest,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
61,CC-Radiomics-Phantom-3,CCR-3-CT5,CCR-3-CT5,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.106766522950497658260259351604,1999-10-25,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.252269433347368168954650214951,RTSTRUCT,Control,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
62,CC-Radiomics-Phantom-3,CCR-3-CT5,CCR-3-CT5,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.106766522950497658260259351604,1999-10-25,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.302986024311841422496211043266,RTSTRUCT,Head,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
63,CC-Radiomics-Phantom-3,CCR-3-CT5,CCR-3-CT5,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.106766522950497658260259351604,1999-10-25,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.790038055680113182276048107331,CT,Head,1.000000,LightSpeed16,LightSpeedverrel,1,88,8.1 RT SIMULATION PELVIS,1999-10-25
64,CC-Radiomics-Phantom-3,CCR-3-CT5,CCR-3-CT5,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.106766522950497658260259351604,1999-10-25,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.664738216845793265036647413790,CT,Chest,1.000000,LightSpeed16,LightSpeedverrel,1,179,8.1 RT SIMULATION PELVIS,1999-10-25
65,CC-Radiomics-Phantom-3,CCR-3-CT5,CCR-3-CT5,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.106766522950497658260259351604,1999-10-25,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.266412872550617977561753720256,CT,Control,1.000000,LightSpeed16,LightSpeedverrel,1,89,8.1 RT SIMULATION PELVIS,1999-10-25
66,CC-Radiomics-Phantom-3,CCR-3-CT10,CCR-3-CT10,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.435708987706229961479043842311,1999-06-22,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.311699219304034110893011275404,RTSTRUCT,Control,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
67,CC-Radiomics-Phantom-3,CCR-3-CT10,CCR-3-CT10,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.435708987706229961479043842311,1999-06-22,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.276153651733828403603784231840,RTSTRUCT,Head,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
68,CC-Radiomics-Phantom-3,CCR-3-CT10,CCR-3-CT10,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.435708987706229961479043842311,1999-06-22,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.157650867707705692252567215203,RTSTRUCT,Chest,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
